2026-03-25	ALUMINUM	6061 Truck Wheel	1.28	pickup Mi dwest	Joseph Krash Mtls	Joseph Krash	440-735-5555
2026-03-25	SS/HITEMP/OTHER	Range Lead-Indoor	0.89	fas US Ra mps	Grace Trading	Joy Li	216-235-7735
2026-03-25	SS/HITEMP/OTHER	Auto Battery	0.405	fas Main  Ports	AP Global Mgmt	Jae Jang	917-991-2313
2026-03-25	SS/HITEMP/OTHER	P91 Scrap	850/MT	Houston T X	Texan Minerals	Suresh Babu	+971-504833176
2026-03-25	SS/HITEMP/OTHER	C.I. Boring	310/GT	Chicago I L	Reserve Alloys	Cal Larkin	574-270-8159
2026-03-25	SS/HITEMP/OTHER	Heavy Torching Scrap	245/GT	Columbus  OH	Columbus Mtl Recy	Chris Weber	614-478-0808
2026-03-25	SS/HITEMP/OTHER	PVC Regrind-Window	0.19-0.23	fob Selle r's	SMC Mgmt	Larry Schipper	201-404-0071
2026-03-25	SS/HITEMP/OTHER	Al/Cu Rad-Cln 1CL	3.12	fas Tampa  FL	Intl Core Supply	Kaupin Patel	727-564-3409
2026-03-25	SS/HITEMP/OTHER	Irony Al 65% 1CL	0.41	fas Toron to ON	Doublewin Intl	Leon Zhao	416-832-8532
2026-03-25	SS/HITEMP/OTHER	Cu Transformer 1CL	1.20	fas Houst on TX	NUR Metals	Rizwan Ali	714-745-3621
2026-03-25	SS/HITEMP/OTHER	Alternator 1CL	1.23	fas Tampa  FL	Intl Core Supply	Kaupin Patel	727-564-3409
2026-03-25	SS/HITEMP/OTHER	304 SS Solids 1CL	0.62	fas Toron to ON	Doublewin Intl	Leon Zhao	416-832-8532
2026-03-25	SS/HITEMP/OTHER	17-4 SS Solids 21K	0.40	fob Houst on TX	Scrap Trading Intl	Ginett Torres	713-784-3330
2026-03-25	SS/HITEMP/OTHER	430 SS Condenser 1CL	0.30	fob Toron to ON	Doublewin Intl	Leon Zhao	416-832-8532
2026-03-25	SS/HITEMP/OTHER	Ti Tube 80K	2.00	fas Houst on TX	AMS Group/CTG	David Hess	713-426-4777
2026-03-25	SS/HITEMP/OTHER	Mag Solids AZ31 20K	0.75	fas Houst on TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-25	SS/HITEMP/OTHER	Mag Puck AZ31 40K	0.40	fas Houst on TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-25	SS/HITEMP/OTHER	Soft Lead 1CL	0.91	fas Tampa  FL	Intl Core Supply	Kaupin Patel	727-564-3409
2026-03-25	SS/HITEMP/OTHER	Auto Battery 5CL	0.42	fas Houst on TX	NUR Metals	Kazim Ali	714-718-2150
2026-03-25	SS/HITEMP/OTHER	Auto Fluff 200K	0.05	fob Houst on TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-25	SS/HITEMP/OTHER	CAT Excavator 1PC	15,000/PC	fob Colto n CA	Augustine Metals	Lynn Augustine	951-682-8102
2026-03-25	SS/HITEMP/OTHER	Labounty Shearer 1PC	50,000/PC	fob Colto n CA	Augustine Metals	Lynn Augustine	951-682-8102
2026-03-26	ALUMINUM	356 Auto Wheel-Dirty	1.34	Austin/HoustonTX	Outlast	Timothy Engels	314-323-5247
2026-03-26	ALUMINUM	6022 Al-Segregated	0.75	fas Midwest	Mervis Recycling	Brendan Beck	217-431-2184
2026-03-26	ALUMINUM	6061 Truck Wheel	1.20	fas Main Ports	Outlast	Timothy Engels	314-323-5247
2026-03-26	ALUMINUM	7050 Solids	0.80	fob Midwest	Mervis Recycling	Brendan Beck	217-431-2184
2026-03-26	ALUMINUM	7075 Solids	1.45	Detroit MI	Major Metals	Steve Sollish	313-368-6060
2026-03-26	ALUMINUM	ACSR/Ins Al 67%	1.15	Garland TX	Geomet Recycling	Ivanna Torres	915-352-9982
2026-03-26	ALUMINUM	ACSR/Ins Al	LME  3M+46/-pr	del UT	Utah Metal Works	Chris Lewon	801-364-5679
2026-03-26	ALUMINUM	IAW 78%	1.35	Garland TX	Geomet Recycling	Ivanna Torres	915-352-9982
2026-03-26	ALUMINUM	Al/Cu Rad-Cln	2.78-2.79	fas East Coast	Steelbro Intl	Raj Mittal	516-922-8002
2026-03-26	ALUMINUM	Al BX Cable	2.74	fas Main Ports	LLW	Justin Wu	401-261-4110
2026-03-26	ALUMINUM	Al Nespresso Pods	0.35	fas East/West	SMC Mgmt	Larry Schipper	201-404-0071
2026-03-26	ALUMINUM	Al Bottle Cap	0.30	Ansonia CT	Connecticut Metal	Tom Mele	203-736-0790
2026-03-26	ALUMINUM	Old Sheet 2%-3% Fe	1.03	fas East Ports	CNA Metals	Andrew Bilodeau	281-494-4940
2026-03-26	ALUMINUM	E Zorba 80% Al	0.65	Cleveland OH	Secure Recycling	Mario Jurcic	833-633-7328
2026-03-26	COPPER/BRASS	#2 Cu Chop	5.00	Cleveland OH	Secure Recycling	Mario Jurcic	833-633-7328
2026-03-26	COPPER/BRASS	#2 Ins Cu 45%	2.20	pickup Seller's	E. Tech Mgmt	Benny Yeung	626-271-0815
2026-03-26	COPPER/BRASS	#2 Ins Cu 50%	2.32	fas Main Ports	LLW	Justin Wu	401-261-4110
2026-03-26	COPPER/BRASS	6 & 1 Wire 90%	3.98	pickup MW	Koppers	David Roche	412-227-2411
2026-03-26	COPPER/BRASS	Beryllium/Cu Tng	4.00	Houston TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-26	COPPER/BRASS	Red Brass Solids	4.70	Medina OH	Integrity Metals	Jim Leboeuf	330-416-2433
2026-03-26	COPPER/BRASS	Brass Shell-Cln	3.55	fas East Coast	CNA Metals	Andrew Bilodeau	281-494-4940
2026-03-26	COPPER/BRASS	Al/Bronze Solids	4.25	Medina OH	Integrity Metals	Jim Leboeuf	330-416-2433
2026-03-26	COPPER/BRASS	Computer Wire	1.08	fas Main Ports	Metal Trading	Shasha Pogon	650-288-2999
2026-03-26	COPPER/BRASS	Cu Clad Wire 30%	0.89	pickup MW	Koppers	David Roche	412-227-2411
2026-03-26	COPPER/BRASS	Starter w/Al Head	0.74	Houston TX	Global Mtls Group	Vishal Sharma	713-887-6981
2026-03-26	COPPER/BRASS	Electric Motor-Mxd	0.62	fas East Coast	Steelbro Intl	Raj Mittal	516-922-8002
2026-03-26	COPPER/BRASS	Sealed Unit	0.52	fas East Coast	SMC Mgmt	Larry Schipper	201-404-0071
2026-03-26	COPPER/BRASS	Yellow Brass-Honey	3.50	Houston TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-26	SS/HITEMP/OTHER	304/316 SS Solids	0.60/1.14	fas East Coast	The Metals Agency	Aldo Jordan	510-219-0307
2026-03-26	SS/HITEMP/OTHER	309/310 SS Solids	0.88/1.48	Main Ports/Ramps	ABCOM	Bharat Mandloi	+65-96356375
2026-03-26	SS/HITEMP/OTHER	304/316 SS Tng	0.54/1.02	fas East Coast	The Metals Agency	Aldo Jordan	510-219-0307
2026-03-26	SS/HITEMP/OTHER	409 SS Solids	0.21	Tullahoma TN	C.F.C. Recycling	Andrew Rice	931-247-8404
2026-03-26	SS/HITEMP/OTHER	AL6XN SS Foundry	2.38	Main Ports/Ramps	ABCOM	Bharat Mandloi	+65-96356375
2026-03-26	SS/HITEMP/OTHER	Zurik	0.30-0.55	fas Main Ports	Majestic Corp	Lionel Lai	+61-477232233
2026-03-26	SS/HITEMP/OTHER	Lead Scrap-Dirty	0.50	Muskogee OK	Wheeler Metals	Tim Wheeler	918-682-1083
2026-03-26	SS/HITEMP/OTHER	Lead Shot-Cln	0.55	Muskogee OK	Wheeler Metals	Tim Wheeler	918-682-1083
2026-03-26	SS/HITEMP/OTHER	Absolyte Battery	0.28	fas CA/WA Ports	Canwest Recycling	Ben Shah	778-982-8150
2026-03-26	SS/HITEMP/OTHER	Gold Memory	23.00	Holbrook NY	Encore Refining	Don Galindo	631-319-1910
2026-03-26	SS/HITEMP/OTHER	CeramicCPU DLP Chips	42.37	Baltimore MD	Owl Metals	Marcus Long	410-282-0068
2026-03-26	SS/HITEMP/OTHER	IC Chip	30.00	pickup Seller's	E. Tech Mgmt	Benny Yeung	626-271-0815
2026-03-26	SS/HITEMP/OTHER	Telecom Board	6.00-10.00	Holbrook NY	Encore Refining	Don Galindo	631-319-1910
2026-03-26	SS/HITEMP/OTHER	Trim Boards	0.52-0.63	fas Main Ports	Majestic Corp	Lionel Lai	+61-477232233
2026-03-26	SS/HITEMP/OTHER	CD/DVD Rm w/Board	0.10	Baltimore MD	Owl Metals	Marcus Long	410-282-0068
2026-03-26	SS/HITEMP/OTHER	#1 Cast Iron	350/MT	fas Main Ports	Canwest Recycling	Ben Shah	778-982-8150
2026-03-26	SS/HITEMP/OTHER	PET Bottle-Bale	0.10	fob Midwest	Target Trading	David Sager	404-983-0570
2026-03-27	ALUMINUM	3003 Clip-New-Bare	1.82	fob Midwest	Target Trading	David Sager	404-983-0570
2026-03-27	ALUMINUM	356 Auto Wheel-Dirty	1.31	Yoe PA	Regen Recycling	Adam Krupp	514-405-5550
2026-03-27	ALUMINUM	6063 Extrusion 2%Fe	1.19	Troy MO	Most	John Morgan	636-295-4036
2026-03-27	ALUMINUM	Al Dross-All Types	0.10-0.60	Concord ON	Rochester Aluminum	Simon/Jose	905-669-1222
2026-03-27	ALUMINUM	Al Engine	0.35	Columbus OH	G-Cor Automotive	Austin Greenblott	800-486-1636
2026-03-27	ALUMINUM	Irony Al 50%+	0.73/Al	Concord ON	Rochester Aluminum	Simon/Jose	905-669-1222
2026-03-27	COPPER/BRASS	Cu Mud/Dust	1.55	fob Midwest	Target Trading	David Sager	404-983-0570
2026-03-27	COPPER/BRASS	Cu Dreck	0.50/Cu	fob Shipper's	Sustainable Mgmt	Michael Friedman	502-526-4458
2026-03-27	COPPER/BRASS	Electric Motor-Sml	0.62/0.60	fas East/West	RAB Wealth	Binish Kalani	214-985-1696
2026-03-27	COPPER/BRASS	Electric Motor-Mxd	0.60/0.58	fas East/West	RAB Wealth	Binish Kalani	214-985-1696
2026-03-27	SS/HITEMP/OTHER	Ti 6-4 BW	2.50	San Diego CA	M3 Metals	Steve Lodge	760-510-9210
2026-03-27	SS/HITEMP/OTHER	Tin Oxide	LLMEx60%	fob Shipper's	Sustainable Mgmt	Michael Friedman	502-526-4458
2026-03-27	SS/HITEMP/OTHER	O2 Sensor	3.50	Columbus OH	G-Cor Automotive	Austin Greenblott	800-486-1636
2026-03-27	SS/HITEMP/OTHER	Hard Drive-Complete	1.00	North York ON	Usaca Resources	Kevin Lim	718-663-1168
2026-03-27	SS/HITEMP/OTHER	#1 Auto Cast	340/GT	Zion IL	Cleveland Corp	Bob Kujawinski	847-872-7200
2026-03-27	SS/HITEMP/OTHER	C.I. Boring	310/GT	Chicago IL	Reserve Alloys	Cal Larkin	574-270-8159
2026-03-27	SS/HITEMP/OTHER	Stove Cast	250/GT	Zion IL	Cleveland Corp	Bob Kujawinski	847-872-7200
2026-03-30	ALUMINUM	356 Auto Wheel-Dirty	1.29	Huntington IN	Transmetco	Ryan Gledhill	260-224-5817
2026-03-30	ALUMINUM	6022 Al-Segregated	0.75	fas Midwest	Mervis Recycling	Brendan Beck	217-431-2184
2026-03-30	ALUMINUM	7050 Solids	0.80	fob Midwest	Mervis Recycling	Brendan Beck	217-431-2184
2026-03-30	ALUMINUM	7075 Solids	1.45	Detroit MI	Major Metals	Steve Sollish	313-368-6060
2026-03-30	ALUMINUM	Painted Siding-Cln	1.25	Austin TX	Outlast	Timothy Engels	314-323-5247
2026-03-30	ALUMINUM	CATV-Bare/Black	0.65/0.60	fas Main Ports	LLW	Justin Wu	401-261-4110
2026-03-30	ALUMINUM	Al/Cu Heat Sink	1.51	fas Main Ports	Metal Trading	Shasha Pogon	650-288-2999
2026-03-30	ALUMINUM	Al Foil-Coated	0.22-0.54	Ansonia CT	Connecticut Metal	Tom Mele	203-736-0790
2026-03-30	ALUMINUM	Irony Al 50%+	0.33	fas Main Ports	Alamo Metal Recy	Ritesh Patel	956-783-4709
2026-03-30	ALUMINUM	Shredded Al	0.72	fas Main Ports	Vigour Int'l	Jing Wang	718-747-5287
2026-03-30	ALUMINUM	Mixed Cast-New	1.12	Newton WI	B & B Metals	Robert Burrows	920-693-8261
2026-03-30	ALUMINUM	Old Cast 2% Fe	0.92	Apr Jackson TN	Most	Bob Zuerner	731-506-3922
2026-03-30	ALUMINUM	Zorba 95%/3% Red	0.69	fas Main Ports	Vigour Int'l	Jing Wang	718-747-5287
2026-03-30	COPPER/BRASS	#2 Ins Cu 50%	2.50	pickup Seller's	E. Tech Mgmt	Benny Yeung	626-271-0815
2026-03-30	COPPER/BRASS	Silver Plated Brass	6.00	pickup Seller's	Noble Metal Svcs	Dan Healey	866-695-4806
2026-03-30	COPPER/BRASS	Beryllium/Cu Solid	7.00	Houston TX	Derichebourg Recy	Guy Bernstein	404-579-4773
2026-03-30	COPPER/BRASS	Busbar-Ag Plated	5.50	Cleveland OH	Secure Recycling	Mario Jurcic	833-633-7328
2026-03-30	COPPER/BRASS	Brass Shell-Cln	3.57	fas East Coast	CNA Metals	Andrew Bilodeau	281-494-4940
2026-03-30	COPPER/BRASS	Ribbon Wire	1.71	Hillside NJ	Tekmat Solution	Ken Chen	908-688-4700
2026-03-30	COPPER/BRASS	ASR Wire	1.10	Cleveland OH	Secure Recycling	Mario Jurcic	833-633-7328
2026-03-30	COPPER/BRASS	Steel BX Cable	1.00	fas Main Ports	LLW	Justin Wu	401-261-4110
2026-03-30	COPPER/BRASS	Christmas Wire	0.88	fas Main Ports	Metal Trading	Shasha Pogon	650-288-2999
2026-03-30	COPPER/BRASS	Cu Transformer-Lrg	1.10	Detroit MI	Eastside Metal	Andy Need	586-291-6069
2026-03-30	COPPER/BRASS	Cu Transformer Core	0.90	pickup Seller's	E. Tech Mgmt	Benny Yeung	626-271-0815
2026-03-30	COPPER/BRASS	Cu Transformer-Med	1.03	Detroit MI	Eastside Metal	Andy Need	586-291-6069
2026-03-30	COPPER/BRASS	Alternator	1.13	fas East Coast	Steelbro Intl	Raj Mittal	516-922-8002
2026-03-30	COPPER/BRASS	Electric Motor-Sml	0.71	fas Main Ports	Florida Metal	Yusuf Motiwala	407-935-0371
2026-03-30	COPPER/BRASS	Electric Motor-Mxd	0.62	fas East Coast	Steelbro Intl	Raj Mittal	516-922-8002
2026-03-30	COPPER/BRASS	Electric Motor-Lrg	0.42	Auburn AL	Southeastern Recy	Lora Williams	334-298-2273
2026-03-30	COPPER/BRASS	Electronic Ballast	0.41	fas Main Ports	Florida Metal	Yusuf Motiwala	407-935-0371
2026-03-30	SS/HITEMP/OTHER	17-4/15-5 SS-Usable	0.35	Houston TX	MP&T Intl	Manish Gupta	832-444-9687
2026-03-30	SS/HITEMP/OTHER	304/316 SS Solids	0.60/1.14	fas East Coast	The Metals Agency	Aldo Jordan	510-219-0307
2026-03-30	SS/HITEMP/OTHER	304/316 SS Tng	0.54/1.02	fas East Coast	The Metals Agency	Aldo Jordan	510-219-0307
2026-03-30	SS/HITEMP/OTHER	Moly Electrode	20.00	pickup Midwest	N.G.R.	Brian Howard	419-452-8005
2026-03-30	SS/HITEMP/OTHER	Moly Scrap	13.00-19.25	pickup Midwest	N.G.R.	Brian Howard	419-452-8005
2026-03-30	SS/HITEMP/OTHER	Nitronic 33 Solids	0.22	Houston TX	MP&T Intl	Manish Gupta	832-444-9687
2026-03-30	SS/HITEMP/OTHER	NiMh Battery	0.65	Fox Lake WI	GlobalTech	Joe Clark	800-770-2330
2026-03-30	SS/HITEMP/OTHER	Auto Battery	0.405	fas Main Ports	AP Global Mgmt	Jae Jang	917-991-2313
2026-03-30	SS/HITEMP/OTHER	Steel Cased Battery	0.405	fas Main Ports	AP Global Mgmt	Jae Jang	917-991-2313
2026-03-30	SS/HITEMP/OTHER	Cellphone Board	13.00-15.00	Holbrook NY	Encore Refining	Don Galindo	631-319-1910
2026-03-30	SS/HITEMP/OTHER	Finger Board	5.25	Holbrook NY	Encore Refining	Don Galindo	631-319-1910
2026-03-30	SS/HITEMP/OTHER	P91 Scrap	0.45	fob Sellers	Texan Minerals	Suresh Babu	+971-504833176
2026-03-30	SS/HITEMP/OTHER	Heavy Torching Scrap	245/GT	Columbus OH	Columbus Mtl Recy	Chris Weber	614-478-0808
2026-03-30	SS/HITEMP/OTHER	C12A Grade Scrap	750/MT	Houston TX	Texan Minerals	Suresh Babu	+971-504833176
2026-03-30	SS/HITEMP/OTHER	PET Seat Belt	0.08	fas East/West	SMC Mgmt	Larry Schipper	201-404-0071
2026-03-31	ALUMINUM	356 Auto Wheel-Dirty	1.31	Yoe  PA	Regen Recycling	Adam Krupp	514-405-5550
2026-03-31	ALUMINUM	380/6061 Puck	0.98	fob  Midwest	Target Trading	David Sager	404-983-0570
2026-03-31	ALUMINUM	6063 Extrusion 2%Fe	1.21	Tro y MO	Most	John Morgan	636-295-4036
2026-03-31	ALUMINUM	Al Turning-Mxd	0.86	fas  Main Ports	Metallon Trading	Matt Ehrlich	925-683-7317
2026-03-31	ALUMINUM	ACSR 68%	1.25	Mon treal PQ	AIM Co	Cassandra Guedes	514-216-6327
2026-03-31	ALUMINUM	Al BX Cable	2.75	fas  Main Ports	Liberty Mtls Recy	Wing Lai	470-338-2073
2026-03-31	ALUMINUM	Al/Cu Rad-Cln	2.82	Cha ttanooga TN	CLP Mtl Recovery	Matt Molenhouse	423-364-5889
2026-03-31	ALUMINUM	Al/Cu Rad End	1.80	fas  Main Ports	Liberty Mtls Recy	Wing Lai	470-338-2073
2026-03-31	ALUMINUM	Al Engine	0.35	Col umbus OH	G-Cor Automotive	Austin Greenblott	800-486-1636
2026-03-31	ALUMINUM	Gas Meter	0.55	Col umbus OH	G-Cor Automotive	Austin Greenblott	800-486-1636
2026-03-31	ALUMINUM	UBC	1.16	fob  Midwest	Target Trading	David Sager	404-983-0570
2026-03-31	COPPER/BRASS	#1 Ins Cu 75%	3.24	Cha ttanooga TN	CLP Mtl Recovery	Matt Molenhouse	423-364-5889
2026-03-31	COPPER/BRASS	Silver Plated Brass	6.00	pic kup Seller's	Ultimate Elec Recy	Daniel Schafer	813-503-1195
2026-03-31	COPPER/BRASS	6 & 1 Wire 90%	3.95	pic kup MW	Koppers	David Roche	412-227-2411
2026-03-31	COPPER/BRASS	CAT5/CAT6 Wire	1.76	Cha ttanooga TN	CLP Mtl Recovery	Matt Molenhouse	423-364-5889
2026-03-31	COPPER/BRASS	Christmas Wire	0.90	fas  Main Ports	Leadpark Ent US	Edmund Ip	347-970-3003
2026-03-31	COPPER/BRASS	Cu Ash/Sweep	0.14	fob  Shipper's	Sustainable Mgmt	Michael Friedman	502-526-4458
2026-03-31	COPPER/BRASS	Cu Sludge	1.50/Cu	fas  Main Ports	Kristi Corp	Jeyapal Babu	908-487-4552
2026-03-31	COPPER/BRASS	Cu Concentrate	0.50+	fas  Main Ports	Kristi Corp	Jeyapal Babu	908-487-4552
2026-03-31	COPPER/BRASS	Cu/Brass Slag	1.00	fob  Shipper's	Sustainable Mgmt	Michael Friedman	502-526-4458
2026-03-31	COPPER/BRASS	Electric Motor-EV	0.42	pic kup Seller's	Cyclic Materials	Patrick Nee	646-469-4168
2026-03-31	COPPER/BRASS	Electric Motor-Mxd	0.61	fas  East Coast	Dynasel Impex	Paige Sheley	336-989-3433
2026-03-31	COPPER/BRASS	Sealed Unit	0.56	fas  East Coast	Dynasel Impex	Paige Sheley	336-989-3433
2026-03-31	SS/HITEMP/OTHER	409 SS Solids	0.21	Tul lahoma TN	C.F.C. Recycling	Andrew Rice	931-247-8404
2026-03-31	SS/HITEMP/OTHER	446 SS Solids	640/MT	fas  East Ports	Anytime Metals	Julia Davison	647-517-2652
2026-03-31	SS/HITEMP/OTHER	904L Foundry	2.25	fas  Main Ports	ABCOM	Bharat Mandloi	+65-96356375
2026-03-31	SS/HITEMP/OTHER	Zeron 100 Foundry	1.78	fas  Main Ports	ABCOM	Bharat Mandloi	+65-96356375
2026-03-31	SS/HITEMP/OTHER	Ti 6-4 BW	4.00	Los  Angeles CA	Grandis Titanium	Vasily Semeninta	949-459-2621
2026-03-31	SS/HITEMP/OTHER	Absolyte Battery	0.28	fas  CA/WA Ports	Canwest Recycling	Ben Shah	778-982-8150
2026-03-31	SS/HITEMP/OTHER	Auto Battery	0.4050	fas  Main Ports	Rap-Co	Steve Fromer	213-713-8097
2026-03-31	SS/HITEMP/OTHER	Steel Cased Battery	0.4050	fas  Main Ports	AP Global Mgmt	Jae Jang	917-991-2313
2026-03-31	SS/HITEMP/OTHER	Battery-EV	0.65	Fox  Lake WI	GlobalTech	Joe Clark	800-770-2330
2026-03-31	SS/HITEMP/OTHER	Ind Cell Battery	0.32	pic kup Seller's	M3 Resources	Gary Bailin	954-288-9620
2026-03-31	SS/HITEMP/OTHER	Cellphone Battery	0.35	Lak ewood, NJ	SAMR	Albert Boufarah	732-300-8144
2026-03-31	SS/HITEMP/OTHER	Ind/Standby Battery	0.32	pic kup Seller's	M3 Resources	Gary Bailin	954-288-9620
2026-03-31	SS/HITEMP/OTHER	NiMh Battery	0.65	Fox  Lake WI	GlobalTech	Joe Clark	800-770-2330
2026-03-31	SS/HITEMP/OTHER	Range Lead-Indoor	0.89	fas  US Ramps	Grace Trading	Joy Li	216-235-7735
2026-03-31	SS/HITEMP/OTHER	Solar Panel	0.20	Nor th York ON	Usaca Resources	Kevin Lim	718-663-1168
2026-03-31	SS/HITEMP/OTHER	Cellphone Scrap	7.00	pic kup Seller's	Ultimate Elec Recy	Daniel Schafer	813-503-1195
2026-03-31	SS/HITEMP/OTHER	C.I. Boring	310/GT	Chi cago IL	Reserve Alloys	Cal Larkin	574-270-8159
2026-03-31	SS/HITEMP/OTHER	C.I. Rotor/Drum	355/GT	Spr ingfield MA	Joseph Freedman	JR Scappini	413-276-4022
2026-03-31	SS/HITEMP/OTHER	Mn Steel-Prepared	400/MT	fob  East Coast	Anytime Metals	Julia Davison	647-517-2652
2026-03-31	SS/HITEMP/OTHER	Steel Turning	230/GT	Spr ingfield MA	Joseph Freedman	JR Scappini	413-276-4022
2026-04-01	ALUMINUM	356 Auto Wheel-Dirty	1.29	Huntington IN	Transmetco	Ryan Gledhill	260-224-5817
2026-04-01	ALUMINUM	7050 Solids	0.80	fob Midwest	Mervis Recycling	Brendan Beck	217-431-2184
2026-04-01	ALUMINUM	Al Turning-HG-C&D	0.93	fob Midwest	Metal Conversions	Neil Chalupa	614-392-5787
2026-04-01	ALUMINUM	Al Foil-Yogurt Lid	0.45	fas Main Ports	Alamo Metal Recy	Ritesh Patel	956-783-4709
2026-04-01	ALUMINUM	Al Foil w/Graphite	0.07	Main Ports/Ramp	SMC Mgmt	Larry Schipper	201-404-0071
2026-04-01	ALUMINUM	Old Cast 2% Fe	0.98	Apr Jackson TN	Most	Bob Zuerner	731-506-3922
2026-04-01	ALUMINUM	Old Sheet 2% Fe	1.10	fas Main Ports	Pan American Zinc	Josephita Harry	786-414-0625
2026-04-01	ALUMINUM	Zorba 95%/3% Red	0.69	fas Main Ports	Vigour Int'l	Jing Wang	718-747-5287
2026-04-01	COPPER/BRASS	#2 Cu Chop	5.00	Cleveland OH	Secure Recycling	Mario Jurcic	833-633-7328
2026-04-01	COPPER/BRASS	Silver Plated Brass	6.00	pickup Seller's	Noble Metal Svcs	Dan Healey	866-695-4806
2026-04-01	COPPER/BRASS	Brass Shell-Cln	3.56	fas East Coast	CNA Metals	Andrew Bilodeau	281-494-4940
2026-04-01	COPPER/BRASS	Jelly Cable-Stripped	3.55	Hillside NJ	Tekmat Solution	Ken Chen	908-688-4700
2026-04-01	COPPER/BRASS	Electric Motor-Lrg	0.42	Auburn AL	Southeastern Recy	Lora Williams	334-298-2273
2026-04-01	COPPER/BRASS	Yellow Brass-Honey	3.20	fas East Coast	Ni-Met	Karan Parikh	289-291-1111
2026-04-01	SS/HITEMP/OTHER	17-4/15-5 SS-Usable	0.37	Houston TX	MP&T Intl	Manish Gupta	832-444-9687
2026-04-01	SS/HITEMP/OTHER	Ti 6-4 BW	2.50	San Diego CA	M3 Metals	Steve Lodge	760-510-9210
2026-04-01	SS/HITEMP/OTHER	Lead Shot-Cln	0.55	Muskogee OK	Wheeler Metals	Tim Wheeler	918-682-1083
2026-04-01	SS/HITEMP/OTHER	Steel Cased Battery	0.32	GraniteFalls NC	C CON Metals USA	Seth Fanberg	828-313-2266
2026-04-01	SS/HITEMP/OTHER	Heavy Torching Scrap	245/GT	Columbus OH	Columbus Mtl Recy	Chris Weber	614-478-0808
2026-04-01	SS/HITEMP/OTHER	PET Bottle-Bale	0.10	fob Midwest	Target Trading	David Sager	404-983-0570
2026-04-01	SS/HITEMP/OTHER	EC Wire 50K	2.10	fob Houston TX	NUR Metals	Kazim Ali	714-718-2150
2026-04-01	SS/HITEMP/OTHER	AC Compressor 4CL	0.72	fas Tampa FL	Intl Core Supply	Kaupin Patel	727-564-3409
2026-04-01	SS/HITEMP/OTHER	Irony Al 65% 1CL	0.41	fas Toronto ON	Doublewin Intl	Leon Zhao	416-832-8532
2026-04-01	SS/HITEMP/OTHER	Cu Transformer 1CL	1.20	fas Houston TX	NUR Metals	Rizwan Ali	714-745-3621
2026-04-01	SS/HITEMP/OTHER	304 SS Solids 1CL	0.62	fas Toronto ON	Doublewin Intl	Leon Zhao	416-832-8532
2026-04-01	SS/HITEMP/OTHER	17-4 SS Solids 21K	0.40	fob Houston TX	Scrap Trading Intl	Ginett Torres	713-784-3330
2026-04-01	SS/HITEMP/OTHER	430 SS Condenser 1CL	0.30	fob Toronto ON	Doublewin Intl	Leon Zhao	416-832-8532
